Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2019-04-22 9:54PM,2019-04-23 5:25AM,410,41,27,451,94,251,65
2019-04-21 9:42PM,2019-04-22 5:27AM,420,45,18,465,90,273,57
2019-04-20 11:36PM,2019-04-21 7:06AM,423,27,21,450,130,247,46
2019-04-19 11:34PM,2019-04-20 7:04AM,413,36,23,449,124,227,62
2019-04-18 9:48PM,2019-04-19 5:02AM,391,43,23,434,93,257,41
2019-04-17 11:32PM,2019-04-18 8:32AM,493,47,3,540,N/A,N/A,N/A
2019-04-17 12:07AM,2019-04-17 8:10AM,459,24,3,483,N/A,N/A,N/A
2019-04-16 12:07AM,2019-04-16 6:22AM,359,16,3,375,N/A,N/A,N/A
2019-04-14 9:51PM,2019-04-15 5:17AM,413,32,27,445,94,266,53
2019-04-13 12:15AM,2019-04-13 7:27AM,408,24,3,432,N/A,N/A,N/A
2019-04-11 9:56PM,2019-04-12 5:02AM,409,17,1,426,N/A,N/A,N/A
2019-04-10 9:49PM,2019-04-11 5:09AM,381,58,27,439,94,211,76
2019-04-09 10:45PM,2019-04-10 5:11AM,354,32,24,386,111,181,62
2019-04-08 10:07PM,2019-04-09 5:59AM,410,62,31,472,103,254,53
2019-04-07 9:46PM,2019-04-08 5:24AM,414,43,22,457,114,223,77
2019-04-06 11:12PM,2019-04-07 6:03AM,392,19,2,411,N/A,N/A,N/A
2019-04-05 11:34PM,2019-04-06 2:02AM,144,4,1,148,N/A,N/A,N/A
2019-04-04 9:48PM,2019-04-05 5:10AM,413,29,28,442,125,217,71
2019-04-03 9:41PM,2019-04-04 5:18AM,434,23,23,457,137,214,83
2019-04-02 11:08PM,2019-04-03 5:33AM,351,34,20,385,114,176,61
2019-04-01 11:05PM,2019-04-02 5:27AM,352,30,19,382,88,205,59
2019-03-31 9:37PM,2019-04-01 6:19AM,460,62,24,522,125,294,41
2019-03-29 11:58PM,2019-03-30 7:38AM,425,35,23,460,133,194,98
2019-03-28 11:08PM,2019-03-29 5:06AM,342,15,12,357,127,127,88
2019-03-27 11:15PM,2019-03-28 5:44AM,347,42,15,389,82,195,70
2019-03-26 9:43PM,2019-03-27 5:06AM,392,51,24,443,110,219,63
2019-03-25 9:52PM,2019-03-26 5:12AM,406,33,25,439,102,215,89
2019-03-24 9:52PM,2019-03-25 5:10AM,393,45,20,438,103,216,74
2019-03-24 1:21AM,2019-03-24 9:17AM,462,14,1,476,N/A,N/A,N/A
2019-03-23 12:39AM,2019-03-23 7:09AM,372,18,2,390,N/A,N/A,N/A
2019-03-21 9:55PM,2019-03-22 5:23AM,400,48,24,448,111,212,77
2019-03-20 9:23PM,2019-03-21 5:07AM,430,34,24,464,114,237,79
2019-03-19 9:41PM,2019-03-20 5:02AM,410,31,22,441,114,188,108
2019-03-18 11:06PM,2019-03-19 5:33AM,352,34,20,386,74,219,59
2019-03-17 9:35PM,2019-03-18 5:07AM,416,36,21,452,125,199,92
2019-03-17 3:41AM,2019-03-17 6:40AM,177,2,0,179,N/A,N/A,N/A
2019-03-16 1:00AM,2019-03-16 7:33AM,344,49,19,393,96,179,69
2019-03-15 12:08AM,2019-03-15 6:22AM,364,10,1,374,N/A,N/A,N/A
2019-03-13 10:04PM,2019-03-14 5:20AM,406,29,24,435,114,216,76
2019-03-12 9:35PM,2019-03-13 7:29AM,555,39,28,594,192,263,100
2019-02-28 9:37PM,2019-03-01 5:09AM,401,51,21,452,89,238,74